"","Vpn.Nr","sz1_1","sz1_2","sz1_3","sz1_4","sz1_5","sz1_6","sz1_7","sz1_8","sz1_9","sz2_1","sz2_2","sz2_3","sz2_4","sz2_5","sz2_6","sz2_7","sz2_8","sz2_9","uni_1","uni_2","uni_3","uni_4","uni_5","uni_6","uni_7","bf_1","bf_2","bf_3","bf_4","bf_5","bf_6","bf_7","bf_8","bf_9","bf_10","bf_11","bf_12","bf_13","bf_14","bf_15","bf_16","bf_17","bf_18","bf_19","bf_20","int_stat","int_it","sw_stat","sw_r","lezu_1","lezu_2","lezu_3","lezu_4","lezu_5","prok_1","prok_2","prok_3","prok_4","prok_5","prok_6","prok_7","prok_8","prok_9","prok_10","berufswunsch","berufswunsch_sonst","nebenjob","abi","geschl","alter","groesse","anz.geschw","bland","erq_1","erq_2","erq_3","erq_4","erq_5","erq_6","erq_7","erq_8","erq_9","erq_10","ros_1","ros_2","ros_3","ros_4","ros_5","ros_6","ros_7","ros_8","ros_9","ros_10","uni_1.f","uni_2.f","uni_3.f","uni_4.f","uni_5.f","uni_6.f","uni_7.f","berufswunsch.f","nebenjob.f","geschl.f","bland.f","prok_2.r","prok_3.r","prok_5.r","prok_7.r","prok_8.r","ros_2.r","ros_5.r","ros_6.r","ros_8.r","ros_9.r","SZ1_INH","SZ1_BED","SZ1_BEL","SZ2_INH","SZ2_BED","SZ2_BEL","BF_EXT","BF_VER","BF_GEW","BF_NEU","BF_OFF","LEZU","PROK","REAP","SUPP","SW"
"1",1,4,5,3,4,2,1,4,3,1,4,4,2,4,2,2,4,2,2,1,2,2,1,2,2,2,4,5,4,3,3,4,4,4,3,3,4,3,3,3,4,3,5,3,3,4,2,3,2,3,6,6,6,5,5,2,3,2,2,3,2,3,3,3,1,3,NA,2,2.2,1,19,165,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","HB",2,3,2,2,2,NA,NA,NA,NA,NA,4,3.33333333333333,1.66666666666667,4,2.66666666666667,2,3.5,4.5,4,3,3,5.6,2.1,NA,NA,NA
"2",2,4,3,2,4,4,3,5,2,5,3,2,4,5,1,5,5,1,4,1,2,2,2,2,2,2,4,5,5,4,3,4,5,4,3,4,5,4,4,3,4,3,5,4,5,5,2,1,3,2,4,5,5,6,6,1,4,3,2,4,4,4,3,1,4,5,"Forensik",2,3.3,1,19,168,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","ja","ja","sonstiges","nein","weiblich","RP",1,2,1,1,2,NA,NA,NA,NA,NA,4.33333333333333,3,3.33333333333333,4.33333333333333,1.33333333333333,4.33333333333333,3.75,4.5,5,4.25,3.25,5.2,1.9,NA,NA,NA
"3",3,5,5,2,5,3,2,5,3,4,5,4,2,5,3,3,5,3,3,1,2,2,1,2,1,2,4,4,3,3,4,3,4,3,3,2,5,4,4,3,3,4,4,3,5,4,1,2,1,1,4,5,4,6,2,3,2,1,3,2,3,2,3,4,3,1,NA,2,3.1,1,19,163,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","nein","ja","klinische Psychologie","nein","weiblich","BY",3,4,3,3,2,NA,NA,NA,NA,NA,5,3.66666666666667,2.66666666666667,5,3.33333333333333,2.66666666666667,3.75,3.5,4,3.5,3.25,4.2,3.1,NA,NA,NA
"4",4,4,3,1,5,3,1,4,2,1,4,3,1,5,2,1,5,2,1,1,1,2,1,1,2,2,2,4,4,3,5,1,3,3,5,1,5,1,3,5,3,1,5,4,2,4,3,3,5,5,6,7,7,5,6,3,1,2,1,4,1,3,4,2,1,5,"Keine Ahnung",2,1.8,1,23,183,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","nein","ja","ja","sonstiges","nein","weiblich","NW",4,3,1,2,1,NA,NA,NA,NA,NA,4.33333333333333,2.66666666666667,1,4.66666666666667,2.33333333333333,1,1.75,3.75,4,1.75,4.75,6.2,1.9,NA,NA,NA
"5",5,3,5,3,3,4,1,4,3,2,4,3,3,4,3,1,4,3,3,2,2,2,1,2,1,1,4,5,4,3,3,3,5,4,3,2,5,1,2,3,5,3,5,3,3,5,5,5,4,4,5,7,6,6,5,4,2,3,2,3,2,4,2,3,1,3,NA,2,1.5,1,19,170,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ja","ja","ja","nein","ja","nein","nein","Wirtschaftspsychologie","nein","weiblich","Ausland",3,2,2,1,3,NA,NA,NA,NA,NA,3.33333333333333,4,2,4,3,2.33333333333333,3,4.75,4.75,2.25,3,5.8,2.3,NA,NA,NA
"6",6,4,2,1,5,2,1,4,3,2,5,4,2,4,3,2,4,3,2,1,2,2,2,2,1,2,4,4,4,3,5,4,3,5,5,4,4,2,5,4,4,4,4,4,3,4,4,4,3,4,5,4,5,5,5,4,3,1,3,2,2,3,2,3,1,3,NA,2,2.3,1,20,170,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","Wirtschaftspsychologie","nein","weiblich","BW",2,4,3,2,3,NA,NA,NA,NA,NA,4.33333333333333,2.33333333333333,1.33333333333333,4.33333333333333,3.33333333333333,2,4.25,4.25,3.75,3,4.5,4.8,2.7,NA,NA,NA
"7",7,5,5,2,5,2,1,5,3,2,5,3,1,5,2,1,5,2,1,1,2,2,1,2,2,2,4,4,4,4,5,4,4,3,5,3,3,2,4,3,3,2,4,5,3,5,4,3,4,4,5,5,5,5,5,3,1,2,3,2,1,3,2,2,4,1,NA,2,2.2,1,19,163,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","BW",4,3,3,2,3,NA,NA,NA,NA,NA,5,3.33333333333333,1.66666666666667,5,2.33333333333333,1,3.5,3.5,4,3,4.5,5,2.8,NA,NA,NA
"8",8,3,5,4,4,1,2,4,2,3,5,4,4,4,2,2,5,3,4,1,2,2,1,2,2,2,4,3,5,5,4,4,5,3,4,4,5,5,4,3,3,3,4,3,5,4,3,2,3,3,4,5,4,4,5,4,2,1,4,3,3,2,2,4,4,3,NA,2,1.8,1,19,179,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","nein","ja","ja","ja","Wirtschaftspsychologie","nein","weiblich","NW",3,4,2,3,3,NA,NA,NA,NA,NA,3.66666666666667,2.66666666666667,3,4.66666666666667,3,3.33333333333333,3.75,3.25,4.75,4.75,3.5,4.4,3.4,NA,NA,NA
"9",9,5,4,1,5,2,1,5,1,4,5,2,1,5,2,1,5,1,4,1,2,2,2,2,1,2,5,5,4,3,4,5,4,3,4,2,4,1,5,4,4,5,5,3,4,5,2,1,3,3,5,7,5,7,3,3,4,2,4,2,3,3,4,2,1,1,NA,1,1.6,1,19,163,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","ja","ja","ja","ja","nein","ja","klinische Psychologie","ja","weiblich","RP",1,3,3,2,1,NA,NA,NA,NA,NA,5,2.33333333333333,2,5,1.66666666666667,2,5,4.25,4.25,2.5,3.75,5.4,2.3,NA,NA,NA
"10",10,3,5,3,4,5,3,4,5,4,3,5,3,4,5,2,4,5,4,1,1,2,1,2,2,2,3,4,3,5,4,3,3,4,4,4,4,4,3,3,4,3,4,4,5,4,3,1,3,3,4,5,5,4,3,3,3,1,4,2,3,2,3,3,3,1,NA,2,1.4,1,20,175,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nein","nein","ja","nein","ja","ja","ja","klinische Psychologie","nein","weiblich","RP",2,4,3,3,2,NA,NA,NA,NA,NA,3.66666666666667,5,3.33333333333333,3.66666666666667,5,3,3,4,3.5,4.5,3.75,4.2,3,NA,NA,NA
